epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
111,13615.6,1.54485,2.57712,1.89424,1.61041,0,0.31952,0.3231,0.27033,0.12524,0.29458,0.32817,0.26136,0.11682,2.13623,2.3424,2.32266,2.61143,0,0.00637,0.00637,0.00637
112,13739.9,1.52894,2.48237,1.85575,1.59679,0,0.30112,0.3342,0.26946,0.12673,0.3007,0.32688,0.26777,0.11755,2.15394,2.39404,2.31007,2.70376,0,0.006337,0.006337,0.006337
113,13863.6,1.54612,2.50442,1.89446,1.59737,0,0.33741,0.31055,0.25217,0.10964,0.33249,0.30621,0.24968,0.10198,2.12592,2.35934,2.37649,2.61711,0,0.006304,0.006304,0.006304
114,13987,1.53055,2.54257,1.89151,1.60375,0,0.28343,0.32971,0.26269,0.11164,0.25332,0.32262,0.24253,0.10236,2.16756,2.37927,2.34499,2.52952,0,0.006271,0.006271,0.006271
115,14109.4,1.52519,2.49844,1.85408,1.59711,0,0.27706,0.34992,0.26133,0.12177,0.25564,0.32206,0.24878,0.11065,2.16681,2.35943,2.32196,2.57455,0,0.006238,0.006238,0.006238
116,14232.5,1.53735,2.51246,1.88448,1.59003,0,0.30256,0.34652,0.27277,0.12146,0.28071,0.32713,0.26231,0.11386,2.10458,2.33203,2.31505,2.55084,0,0.006205,0.006205,0.006205
117,14355.5,1.56334,2.50594,1.88038,1.61188,0,0.33401,0.31295,0.27298,0.12394,0.3154,0.29573,0.25614,0.11768,2.14779,2.35391,2.2897,2.59451,0,0.006172,0.006172,0.006172
118,14478.6,1.51717,2.48355,1.85149,1.58416,0,0.28814,0.35618,0.271,0.12353,0.25899,0.37089,0.26013,0.11847,2.07848,2.34396,2.30623,2.4605,0,0.006139,0.006139,0.006139
119,14606.1,1.54357,2.5304,1.89874,1.6009,0,0.33609,0.32033,0.28359,0.13358,0.34365,0.31104,0.28056,0.12423,2.12172,2.31779,2.30099,2.6334,0,0.006106,0.006106,0.006106
120,14740.1,1.55299,2.50655,1.88202,1.59331,0,0.32381,0.33391,0.28045,0.13391,0.35547,0.28993,0.27277,0.12448,2.11016,2.31085,2.33062,2.55267,0,0.006073,0.006073,0.006073
121,14874.5,1.5384,2.54251,1.88079,1.60774,0,0.27562,0.33181,0.26177,0.12239,0.25487,0.31125,0.24688,0.10907,2.11518,2.34177,2.30641,2.48825,0,0.00604,0.00604,0.00604
